"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 28 18:43:52 CST 2020","Sat Nov 28 18:43:52 CST 2020","199","test_case","test_shop","Testshop","","","店铺包邮活动",""
"passed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","test_case","test_1","","","","test_login[login_r1-query_param2]",""
"passed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","test_case","test_1","","","","test_login[login_r2-query_param2]",""
"passed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","test_case","test_1","","","","test_login[login_r2-query_param1]",""
"failed","Sat Nov 28 18:43:36 CST 2020","Sat Nov 28 18:43:37 CST 2020","210","test_case","test_address","TestAddress","","","搜索地址",""
"passed","Sat Nov 28 18:43:52 CST 2020","Sat Nov 28 18:43:52 CST 2020","42","test_case","test_searchmedicine","TestSearchMedicine","","","厂家搜索",""
"passed","Sat Nov 28 18:43:46 CST 2020","Sat Nov 28 18:43:46 CST 2020","587","test_case","test_login","","","","登录模块",""
"passed","Fri Nov 20 13:28:13 CST 2020","Fri Nov 20 13:28:13 CST 2020","0","test_case","test_a","","","","test_a","用例描述:test_a"
"passed","Fri Nov 20 13:28:26 CST 2020","Fri Nov 20 13:28:26 CST 2020","233","test_case","test_insertaddress","TestAddress","","","test_tianjiadizhi[1-http://192.168.2.252:18080/4000/4000/0/-person.address.insert-{'data':'{\""name\"":\""sqc11\"",\""regionid\"":\""562\"",\""mobile\"":\""15335722137\"",\""address_name\"":\""海大富别人高回报看缴费如果您把日军\""}',
'__client':'app_wx',
'app_version':'4.5.00',
'osVersion':'miniapp',
'deviceName':'iPhone%206s%20Plus%3CiPhone8%2C2%3E',
'os':'ios',
'version':'7.0.17',
'market':'iPhone',
'networkType':'true',
'lat':'31.236276',
'lng':'121.480248'
}-get-2-{""code"":1}]",""
"failed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","3","common","test_2","","","","test_chakandizhi[http://192.168.2.252:18080/4000/4000/0/]",""
"passed","Sat Nov 28 18:43:46 CST 2020","Sat Nov 28 18:43:46 CST 2020","16","test_case","test_log","","","","test_case02[4-http://192.168.2.252:18080/4000/4000/0/-guest.medicine.getSearchPageData-{'Content-Type':'application/x-www-form-urlencoded'}-{'keywords':''}-get-5-{""code"":1}]",""
"passed","Sat Nov 28 18:43:39 CST 2020","Sat Nov 28 18:43:40 CST 2020","374","test_case","test_cart","TestCart","","","购物车数量",""
"passed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","test_case","test_1","","","","test_login[login_r0-query_param0]",""
"passed","Sat Nov 28 18:43:42 CST 2020","Sat Nov 28 18:43:42 CST 2020","448","test_case","test_cart","TestCart","","","获取购物车商品等具体信息",""
"broken","Sat Nov 28 18:43:39 CST 2020","Sat Nov 28 18:43:39 CST 2020","401","test_case","test_bijia","","","","比价",""
"passed","Sat Nov 28 18:43:43 CST 2020","Sat Nov 28 18:43:43 CST 2020","484","test_case","test_chaxunyaopin","","","","查询药品模块",""
"passed","Sat Nov 28 18:43:45 CST 2020","Sat Nov 28 18:43:46 CST 2020","175","test_case","test_log","","","","test_case02[2-http://192.168.2.252:18080/4000/4000/0/-guest.medicine.getSearchPageData-{'Content-Type':'application/x-www-form-urlencoded'}-{'keywords':'克拉霉素'}-get-3-{""code"":1}]",""
"passed","Sat Nov 28 18:43:52 CST 2020","Sat Nov 28 18:43:52 CST 2020","31","test_case","test_searchmedicine","TestSearchMedicine","","","关键字联想",""
"failed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","test_case","test_3","TestAbc","","","test_add2[1-2-3]",""
"passed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","test_case","test_1","","","","test_login[login_r2-query_param0]",""
"passed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","test_case","test_3","TestAbc","","","test_other[7-8-15]",""
"failed","Sat Nov 28 18:43:47 CST 2020","Sat Nov 28 18:43:47 CST 2020","218","test_case","test_order","TestOrder","","","获取未付款订单信息",""
"passed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","test_case","test_1","","","","test_login[login_r1-query_param1]",""
"failed","Sat Nov 28 18:43:46 CST 2020","Sat Nov 28 18:43:46 CST 2020","201","test_case","test_order","TestOrder","","","订单结算页",""
"broken","Sat Nov 28 18:43:37 CST 2020","Sat Nov 28 18:43:38 CST 2020","1306","test_case","test_bijia","","","","比价",""
"failed","Sat Nov 28 18:43:46 CST 2020","Sat Nov 28 18:43:47 CST 2020","214","test_case","test_order","TestOrder","","","创建订单",""
"failed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","common","test_2","","","","test_chakandizhi[2]",""
"broken","Sat Nov 28 18:43:44 CST 2020","Sat Nov 28 18:43:44 CST 2020","7","test_case","test_chaxunyaopin","","","","查询药品模块",""
"failed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","common","test_2","","","","test_chakandizhi[guest.account.login]",""
"passed","Sat Nov 28 18:43:45 CST 2020","Sat Nov 28 18:43:45 CST 2020","107","test_case","test_log","","","","test_case02[1-http://192.168.2.252:18080/4000/4000/0/-guest.medicine.getSearchPageData-{'Content-Type':'application/x-www-form-urlencoded'}-{'keywords':'感冒灵',
'aliascn':'999',
'standard':'10gx9袋/盒',
'trocheType':'颗粒剂',
'titleAbb':'华润三九',
'pageSize':'10',
'pageIndex':'1orderBy=\'shopCount asc\''}-get-2-{""code"":1}]",""
"passed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","test_case","test_3","TestAbc","","","test_other[4-13-9]",""
